Date,AAPL,BTC-USD,GLD,TSLA
2025-05-08,196.45201110839844,103241.4609375,304.6300048828125,284.82000732421875
2025-05-09,197.4865264892578,102970.8515625,306.8399963378906,298.260009765625
2025-05-10,,104696.328125,,
2025-05-11,,104106.359375,,
2025-05-12,209.95704650878906,102812.953125,298.19000244140625,318.3800048828125
2025-05-13,212.08859252929688,104169.8125,299.4599914550781,334.07000732421875
2025-05-14,211.490966796875,103539.4140625,293.1600036621094,347.67999267578125
2025-05-15,210.6144256591797,103744.640625,297.8399963378906,342.82000732421875
2025-05-16,210.42518615722656,103489.2890625,294.239990234375,349.9800109863281
2025-05-17,,103191.0859375,,
2025-05-18,,106446.0078125,,
2025-05-19,207.95501708984375,105606.1796875,298.0299987792969,342.0899963378906
2025-05-20,206.04257202148438,106791.0859375,303.5799865722656,343.82000732421875
2025-05-21,201.29141235351562,109678.078125,305.82000732421875,334.6199951171875
2025-05-22,200.5643310546875,111673.28125,303.1099853515625,341.0400085449219
2025-05-23,194.49838256835938,107287.796875,309.75,339.3399963378906
2025-05-24,,107791.15625,,
2025-05-25,,109035.390625,,
2025-05-26,,109440.3671875,,
2025-05-27,199.41885375976562,108994.640625,304.5,362.8900146484375
2025-05-28,199.62802124023438,107802.328125,303.80999755859375,356.8999938964844
2025-05-29,199.15988159179688,105641.7578125,305.6099853515625,358.42999267578125
2025-05-30,200.05633544921875,103998.5703125,303.6000061035156,346.4599914550781
2025-05-31,,104638.09375,,
2025-06-01,,105652.1015625,,
2025-06-02,200.90296936035156,105881.53125,311.6700134277344,342.69000244140625
2025-06-03,202.46678161621094,105432.46875,308.9100036621094,344.2699890136719
2025-06-04,202.0185546875,104731.984375,310.8999938964844,332.04998779296875
2025-06-05,199.83721923828125,101575.953125,309.3299865722656,284.70001220703125
2025-06-06,203.11419677734375,104390.34375,305.17999267578125,295.1400146484375
2025-06-07,,105615.625,,
2025-06-08,,105793.6484375,,
2025-06-09,200.65396118164062,110294.1015625,306.6199951171875,308.5799865722656
2025-06-10,201.86915588378906,110257.234375,306.7099914550781,326.0899963378906
2025-06-11,197.99452209472656,108686.625,308.3699951171875,326.42999267578125
2025-06-12,198.412841796875,105929.0546875,312.20001220703125,319.1099853515625
2025-06-13,195.6737060546875,106090.96875,316.2900085449219,325.30999755859375
2025-06-14,,105472.40625,,
2025-06-15,,105552.0234375,,
2025-06-16,197.63592529296875,106796.7578125,311.7799987792969,329.1300048828125
2025-06-17,194.86691284179688,104601.1171875,311.94000244140625,316.3500061035156
2025-06-18,195.80319213867188,104883.328125,310.260009765625,322.04998779296875
2025-06-19,,104684.2890625,,
2025-06-20,200.2057342529297,103309.6015625,310.1300048828125,322.1600036621094
2025-06-21,,102257.40625,,
2025-06-22,,100987.140625,,
2025-06-23,200.70376586914062,105577.7734375,311.0799865722656,348.67999267578125
2025-06-24,199.50851440429688,106045.6328125,306.19000244140625,340.4700012207031
2025-06-25,200.76353454589844,107361.2578125,307.1199951171875,327.54998779296875
2025-06-26,200.2057342529297,106960.0,306.7799987792969,325.7799987792969
2025-06-27,200.28541564941406,107088.4296875,301.2200012207031,323.6300048828125
2025-06-28,,107327.703125,,
2025-06-29,,108385.5703125,,
2025-06-30,204.3592529296875,107135.3359375,304.8299865722656,317.6600036621094
2025-07-01,206.998779296875,105698.28125,307.54998779296875,300.7099914550781
2025-07-02,211.60055541992188,108859.3203125,309.25,315.6499938964844
2025-07-03,212.70614624023438,109647.9765625,307.1400146484375,315.3500061035156
2025-07-04,,108034.3359375,,
2025-07-05,,108231.1796875,,
2025-07-06,,109232.0703125,,
2025-07-07,209.120361328125,108299.8515625,307.3699951171875,293.94000244140625
2025-07-08,209.1801300048828,108950.2734375,304.1600036621094,297.80999755859375
2025-07-09,210.3056640625,111326.5546875,305.5199890136719,295.8800048828125
2025-07-10,211.5706787109375,115987.203125,306.20001220703125,309.8699951171875
2025-07-11,210.3256072998047,117516.9921875,309.1400146484375,313.510009765625
2025-07-12,,117435.2265625,,
2025-07-13,,119116.1171875,,
2025-07-14,207.79563903808594,119849.703125,308.010009765625,316.8999938964844
2025-07-15,208.28370666503906,117777.1875,306.7300109863281,310.7799987792969
2025-07-16,209.3295440673828,118738.5078125,308.260009765625,321.6700134277344
2025-07-17,209.1901092529297,119289.84375,307.5899963378906,319.4100036621094
2025-07-18,210.34552001953125,118003.2265625,308.3900146484375,329.6499938964844
2025-07-19,,117939.9765625,,
2025-07-20,,117300.7890625,,
2025-07-21,211.64036560058594,117439.5390625,313.1300048828125,328.489990234375
2025-07-22,213.55279541015625,119995.4140625,316.1000061035156,332.1099853515625
2025-07-23,213.30377197265625,118754.9609375,312.17999267578125,332.55999755859375
2025-07-24,212.91531372070312,118368.0,310.2699890136719,305.29998779296875
2025-07-25,213.03485107421875,117635.8828125,307.3999938964844,316.05999755859375
2025-07-26,,117947.3671875,,
2025-07-27,,119448.4921875,,
2025-07-28,213.2041778564453,117924.4765625,305.4100036621094,325.5899963378906
2025-07-29,210.43515014648438,117922.1484375,306.25,321.20001220703125
2025-07-30,208.2239227294922,117831.1875,300.9599914550781,319.0400085449219
2025-07-31,206.7498016357422,115758.203125,302.9599914550781,308.2699890136719
2025-08-01,201.58029174804688,113320.0859375,309.1099853515625,302.6300048828125
2025-08-02,,112526.9140625,,
2025-08-03,,114217.671875,,
2025-08-04,202.5464630126953,115071.8828125,310.9100036621094,309.260009765625
2025-08-05,202.11814880371094,114141.4453125,311.1600036621094,308.7200012207031
2025-08-06,212.40733337402344,115028.0,310.5,319.9100036621094
2025-08-07,219.16053771972656,117496.8984375,313.1199951171875,322.2699890136719
2025-08-08,228.4437255859375,116688.7265625,313.04998779296875,329.6499938964844
2025-08-09,,116500.359375,,
2025-08-10,,119306.7578125,,
2025-08-11,226.53909301757812,118731.4453125,308.54998779296875,339.0299987792969
2025-08-12,229.0021209716797,120172.90625,308.2699890136719,340.8399963378906
2025-08-13,232.6717529296875,123344.0625,309.2099914550781,339.3800048828125
2025-08-14,232.12330627441406,118359.578125,307.25,335.5799865722656
2025-08-15,230.93667602539062,117398.3515625,307.42999267578125,330.55999755859375
2025-08-16,,117491.3515625,,
2025-08-17,,117453.0625,,
2025-08-18,230.23863220214844,116252.3125,306.95001220703125,335.1600036621094
2025-08-19,229.90957641601562,112831.1796875,305.2699890136719,329.30999755859375
2025-08-20,225.3723907470703,114274.7421875,308.3599853515625,323.8999938964844
2025-08-21,224.26551818847656,112419.03125,307.2900085449219,320.1099853515625
2025-08-22,227.11746215820312,116874.0859375,310.5799865722656,340.010009765625
2025-08-23,,115374.328125,,
2025-08-24,,113458.4296875,,
2025-08-25,226.5191650390625,110124.3515625,309.8299865722656,346.6000061035156
